time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_x,hit_y,hit_z
0.0000,Left,0.4588,2.7215,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0000,Right,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0000,Combined,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0200,Left,0.4600,1.3600,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.0200,Right,0.0000,1.3600,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.0200,Combined,0.0000,1.3600,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1412,Left,0.4600,1.1682,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1412,Right,0.0000,1.1682,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1412,Combined,0.0000,1.1682,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1671,Left,0.4600,1.1207,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1671,Right,0.0000,1.1207,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1671,Combined,0.0000,1.1207,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1782,Left,0.4600,1.0992,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1782,Right,0.0000,1.0992,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1782,Combined,0.0000,1.0992,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1924,Left,0.4600,1.0697,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1924,Right,0.0000,1.0697,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1924,Combined,0.0000,1.0697,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.2066,Left,0.4600,1.0381,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.2066,Right,0.0000,1.0381,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.2066,Combined,0.0000,1.0381,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.2196,Left,0.4600,1.0075,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
