aoi,start_time,end_time,duration
item 3-3,2.1642,3.1541,0.9898
item 3-3,13.9875,14.8368,0.8493
item 2-2,31.6263,32.5309,0.9046
item 2-2,33.0600,34.0347,0.9747
item 2-2,37.0000,37.7522,0.7522
item 1-1,49.1960,50.0592,0.8631
item 1-1,50.0592,51.1591,1.1000
item 1-1,53.1223,54.4588,1.3366
item 1-1,56.6307,57.4666,0.8359
item 1-1,58.6222,61.8239,3.2016
item 1-1,62.5616,63.3979,0.8363
item 1-1,65.9169,66.6965,0.7796
item 1-1,78.5298,79.3655,0.8357
item 1-1,82.0802,83.0825,1.0024
item 1-1,96.6285,97.9655,1.3370
item 1-1,98.0349,99.5528,1.5180
item 1-1,99.9844,103.0889,3.1045
item 2-2,154.5311,156.1872,1.6561
item 2-2,157.0779,158.4564,1.3785
item 2-2,159.0267,160.0293,1.0026
item 2-2,160.5581,161.4353,0.8772
item 2-2,161.8251,162.8970,1.0720
item 2-2,164.9298,166.9367,2.0069
