time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_x,hit_y,hit_z
0.0000,Left,0.4588,2.7215,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0000,Right,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0000,Combined,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0200,Left,0.4600,1.3600,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.0200,Right,0.0000,1.3600,-3.1490,0.0000,0.0000,1.0000,item 1,0.0000,1.3600,21.5024
0.0200,Combined,0.0000,1.3600,-3.1490,0.0000,0.0000,1.0000,item 1,0.0000,1.3600,21.5024
0.0974,Left,0.4600,1.2708,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.0974,Right,0.0000,1.2708,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.0974,Combined,0.0000,1.2708,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1197,Left,0.4600,1.2403,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1197,Right,0.0000,1.2403,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1197,Combined,0.0000,1.2403,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1305,Left,0.4600,1.2244,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1305,Right,0.0000,1.2244,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1305,Combined,0.0000,1.2244,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1440,Left,0.4600,1.2027,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1440,Right,0.0000,1.2027,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1440,Combined,0.0000,1.2027,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1581,Left,0.4600,1.1780,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1581,Right,0.0000,1.1780,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1581,Combined,0.0000,1.1780,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.1703,Left,0.4600,1.1552,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
