time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_layer,hit_x,hit_y,hit_z
0.0000,Left,0.4588,2.7215,-3.1159,-0.0713,0.1376,0.9879,,,0.0000,0.0000,0.0000
0.0000,Right,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,,0.0000,0.0000,0.0000
0.0000,Combined,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,,0.0000,0.0000,0.0000
0.0200,Left,0.4600,1.3600,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.0200,Right,0.0000,1.3600,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.0200,Combined,0.2300,1.3600,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1162,Left,0.4600,1.2315,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1162,Right,0.0000,1.2315,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1162,Combined,0.2300,1.2315,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1559,Left,0.4600,1.1630,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1559,Right,0.0000,1.1630,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1559,Combined,0.2300,1.1630,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1678,Left,0.4600,1.1410,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1678,Right,0.0000,1.1410,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1678,Combined,0.2300,1.1410,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1824,Left,0.4600,1.1120,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1824,Right,0.0000,1.1120,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1824,Combined,0.2300,1.1120,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1953,Left,0.4600,1.0847,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1953,Right,0.0000,1.0847,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1953,Combined,0.2300,1.0847,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.2075,Left,0.4600,1.0575,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
