TaskNumber,Condition,CompletionTimeSeconds,TotalScrubTime,TotalGrabs,TotalUndo,TotalRedoTask 
Task 3,Experiment,72.74,0.00,19,0,0
Task 1,Control,264.77,0.00,7,4,0
Task 3,Experiment,274.50,8.21,24,13,2
Task 3,Experiment,274.50,8.21,24,13,2
Task 1,Control,90.34,0.00,4,3,1
Task 3,Control,156.01,0.00,14,5,0
Task 1,Experiment,123.33,54.27,4,17,2
Task 3,Experiment,216.68,42.62,17,7,173
Task 1,Control,42.12,0.00,5,4,2
Task 3,Control,74.59,0.00,13,6,1
Task 1,Experiment,39.98,8.95,5,5,2
Task 3,Experiment,56.31,17.10,6,6,3
Task 1,Control,101.97,0.00,4,4,3
Task 3,Control,84.05,0.00,13,1,0
Task 1,Experiment,82.28,28.16,6,8,9
Task 3,Experiment,165.77,45.13,12,13,8
Task 1,Control,97.08,0.00,4,3,1
Task 3,Control,106.38,0.00,10,0,0
Task 1,Experiment,69.70,5.54,5,2,2
Task 3,Experiment,97.92,0.00,11,0,0
Task 1,Control,205.06,0.00,7,5,3
Task 3,Control,109.43,0.00,13,0,0
Task 1,Experiment,64.07,18.49,3,3,3
Task 3,Experiment,79.53,16.41,7,8,5
